Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1982-01-04 00:00:00-05:00,1.637131970423468,1.6541853039032544,1.6115517566972888,1.6456588506698608,321198,0.0,0.0
1982-01-05 00:00:00-05:00,1.6115527740728306,1.6456598895772727,1.568918915276717,1.620079517364502,442414,0.0,0.0
1982-01-06 00:00:00-05:00,1.5433381724413082,1.5944984634126582,1.4836511425851195,1.5262846946716309,565817,0.0,0.0
1982-01-07 00:00:00-05:00,1.5007044644547745,1.5262848256420225,1.4665977906640937,1.4921777248382568,508929,0.0,0.0
1982-01-08 00:00:00-05:00,1.5007057189941406,1.5177592124833212,1.4836525101805877,1.5007057189941406,340453,0.0,0.0
1982-01-11 00:00:00-05:00,1.449544607271463,1.5177584024860347,1.3813308120568912,1.4069108963012695,521182,0.0,0.0
1982-01-12 00:00:00-05:00,1.4154374053474683,1.4410176277160645,1.3898573253165865,1.4410176277160645,473483,0.0,0.0
1982-01-13 00:00:00-05:00,1.406910811228491,1.4495445196207186,1.3642772451739926,1.3813307285308838,313322,0.0,0.0
1982-01-14 00:00:00-05:00,1.4069097190072302,1.4495433943018072,1.3642761860502721,1.423963189125061,260810,0.0,0.0
1982-01-15 00:00:00-05:00,1.4495439382134012,1.466597557067871,1.4324904616966037,1.466597557067871,185980,0.0,0.0
1982-01-18 00:00:00-05:00,1.4495437792629087,1.4665973962473553,1.432490304616119,1.4580705165863037,208735,0.0,0.0
1982-01-19 00:00:00-05:00,1.3813316470504646,1.4495454834992434,1.3131178106016859,1.338697910308838,1352184,0.0,0.0
1982-01-20 00:00:00-05:00,1.355750503495547,1.3813307285308838,1.3301701361224811,1.3813307285308838,477422,0.0,0.0
1982-01-21 00:00:00-05:00,1.3813300680226779,1.3898568056239082,1.3642765928202176,1.3728033304214478,393402,0.0,0.0
1982-01-22 00:00:00-05:00,1.3728033304214478,1.3898568056239082,1.3557498552189873,1.3728033304214478,238054,0.0,0.0
1982-01-25 00:00:00-05:00,1.3728035054655001,1.389856982842423,1.355750028088577,1.3642767667770386,223614,0.0,0.0
1982-01-26 00:00:00-05:00,1.347223659765054,1.3813306238952372,1.3131168379725893,1.3301700353622437,329513,0.0,0.0
1982-01-27 00:00:00-05:00,1.355750503495547,1.3813307285308838,1.3301701361224811,1.3813307285308838,160162,0.0,0.0
1982-01-28 00:00:00-05:00,1.4154367446899414,1.4324902183092676,1.3898566765986005,1.4154367446899414,301944,0.0,0.0
1982-01-29 00:00:00-05:00,1.4495443065026936,1.4665979296900196,1.4324908256530762,1.4324908256530762,326012,0.0,0.0
1982-02-01 00:00:00-05:00,1.3983838152772716,1.415437007386268,1.3813301961552515,1.3898569345474243,123841,0.0,0.0
1982-02-02 00:00:00-05:00,1.3813302441539614,1.389856982842423,1.3642767667770386,1.3642767667770386,227990,0.0,0.0
1982-02-03 00:00:00-05:00,1.355750500356211,1.3813307253323148,1.330170133042378,1.3472237586975098,197358,0.0,0.0
1982-02-04 00:00:00-05:00,1.3557504415512085,1.3642771828400666,1.3386969589734923,1.3557504415512085,176353,0.0,0.0
1982-02-05 00:00:00-05:00,1.3526695518648693,1.3697919693458287,1.3355469914708187,1.3441083431243896,123841,0.018282,0.0
1982-02-08 00:00:00-05:00,1.3184246358540068,1.3441081147994776,1.2841798067092896,1.2841798067092896,328638,0.0,0.0
1982-02-09 00:00:00-05:00,1.2841793039627165,1.301301711831781,1.258495549246109,1.2756179571151733,207860,0.0,0.0
